match_uid,ha_status,ha_method,csv_home_name,csv_home_id,csv_away_name,csv_away_id,page_home_name,page_home_id,page_away_name,page_away_id,page_set1_tb_home,page_set1_tb_away,page_set2_tb_home,page_set2_tb_away,page_set3_tb_home,page_set3_tb_away,page_set1_home,page_set1_away,page_set2_home,page_set2_away,page_set3_home,page_set3_away,page_time_overall,page_time_set1,page_time_set2,page_time_set3,page_date_time,page_court_type,error
SY4heqAb,correct,id_match,Aksu A.,rDEdDdEe,Arseneault A.,4WddiMUL,Aksu A.,rDEdDdEe,Arseneault A.,4WddiMUL,,,,,10,8,6,3,5,7,7,6,2:51,0:50,0:43,1:18,"02:00 PM, October 20, 2025",HARD,
Sb6AcJjo,correct,id_match,Zakharova A.,pQGynuhR,Ryser V.,SpnIw30M,Zakharova A.,pQGynuhR,Ryser V.,SpnIw30M,,,,,,,6,1,6,2,,,1:07,0:31,0:36,,"09:15 AM, November 24, 2025",HARD,
SdcTFMk1,correct,id_match,Marcinkevica D.,AJTpuReI,Voegele S.,vRqsau46,Marcinkevica D.,AJTpuReI,Voegele S.,vRqsau46,,,,,,,3,6,4,6,,,1:28,0:39,0:49,,"05:30 AM, June 07, 2022",CLAY,
Sh93QCxp,correct,id_match,Arconada U. M.,pfzOoOF5,Noel A.,Ya0krxub,Arconada U. M.,pfzOoOF5,Noel A.,Ya0krxub,,,,,,,6,2,3,6,1,6,2:42,0:57,0:54,0:51,"10:10 AM, June 05, 2024",HARD,
SjEnGk0T,correct,id_match,Loeb J.,dnuFIN0K,Hewitt D.,8jUODKId,Loeb J.,dnuFIN0K,Hewitt D.,8jUODKId,,,,,,,4,6,6,2,4,6,2:06,0:44,0:30,0:52,"10:10 AM, July 17, 2024",HARD,
SlumuzTI,correct,id_match,Fourlis J.,M3muMbmb,Lodikova D.,2LHIo7I2,Fourlis J.,M3muMbmb,Lodikova D.,2LHIo7I2,,,,,,,5,7,1,6,,,1:48,1:07,0:41,,"04:35 AM, April 25, 2023",CLAY,
SnhCENY6,correct,id_match,Ruggeri J.,2HyunfM6,Hatouka Y.,K8A5SIap,Ruggeri J.,2HyunfM6,Hatouka Y.,K8A5SIap,,,,,,,6,2,3,6,6,4,1:47,0:29,0:35,0:43,"09:10 AM, July 13, 2023",CLAY,
SpoaVDvr,correct,id_match,Garland J.,nLHKqCzb,Naef C.,0pESKoy5,Garland J.,nLHKqCzb,Naef C.,0pESKoy5,,,1,7,,,3,6,6,7,,,1:30,0:31,0:59,,"11:35 AM, March 26, 2024",HARD,
SpwvkC8j,correct,id_match,Jovic I.,bmWvBlnL,Tararudee L.,lOEhBzlI,Jovic I.,bmWvBlnL,Tararudee L.,lOEhBzlI,,,,,,,6,1,7,5,,,1:23,0:28,0:55,,"04:15 PM, October 05, 2024",HARD,
SrUYTKYq,correct,id_match,Liu C.,8KHYNHRA,Dartron E.,zw8Ilv1R,Liu C.,8KHYNHRA,Dartron E.,zw8Ilv1R,,,,,,,6,1,6,2,,,1:05,0:27,0:38,,"08:05 AM, May 10, 2024",CLAY,
StswPJKa,correct,id_match,Avdeeva J.,j572Ekuh,Bulgaru M.,8zSzotZ1,Avdeeva J.,j572Ekuh,Bulgaru M.,8zSzotZ1,,,,,,,3,6,7,5,4,6,2:39,0:44,1:10,0:45,"07:15 AM, April 22, 2025",CLAY,
Sx7EMOb7,correct,id_match,Perrin C.,Krn6dKDD,Klincov B.,nuK8jtpS,Perrin C.,Krn6dKDD,Klincov B.,nuK8jtpS,,,,,,,1,6,6,3,6,0,1:52,0:33,0:43,0:36,"08:15 AM, July 20, 2022",CLAY,
Szb5rIxQ,correct,id_match,Zantedeschi A.,KIRyWIvq,Fossa Huergo N.,29LEcNRm,Zantedeschi A.,KIRyWIvq,Fossa Huergo N.,29LEcNRm,,,,,8,6,2,6,6,4,7,6,3:03,0:49,0:55,1:19,"07:40 AM, July 31, 2024",CLAY,
U1JPWOm4,correct,id_match,Lew Yan Foon A.,CvKf6QyA,Tan H.,vqOqBe0i,Lew Yan Foon A.,CvKf6QyA,Tan H.,vqOqBe0i,4,7,,,,,6,7,2,6,,,1:38,0:58,0:40,,"08:15 AM, January 30, 2025",HARD,
U1okfHs4,correct,id_match,Bektas E.,bstrYIDU,Cabrera L.,GjjqIe5A,Bektas E.,bstrYIDU,Cabrera L.,GjjqIe5A,,,,,,,6,2,6,2,,,1:02,0:29,0:33,,"10:05 PM, May 11, 2023",HARD,
U7Q4x9Sa,correct,id_match,Costoulas S.,WK42lFJU,Kalamaris G.,86D3446M,Costoulas S.,WK42lFJU,Kalamaris G.,86D3446M,,,,,,,6,2,6,1,,,0:54,0:25,0:29,,"10:30 AM, September 10, 2025",HARD,
U9Pm0E3q,correct,id_match,Deichmann K.,44zKPsKi,Burrage J.,U5Ot7i32,Deichmann K.,44zKPsKi,Burrage J.,U5Ot7i32,10,12,,,,,6,7,6,3,6,2,2:28,1:16,0:38,0:34,"05:10 AM, May 05, 2022",CLAY,
UBIx13Sp,correct,id_match,Babos T.,WUunsrrI,Voegele S.,vRqsau46,Babos T.,WUunsrrI,Voegele S.,vRqsau46,,,,,,,6,3,1,6,3,6,1:59,0:38,0:35,0:46,"08:45 AM, May 11, 2019",CLAY,
UD7Akyu3,correct,id_match,Oz I.,Oxue6Cgb,Simion O.,QVBmMmoq,Oz I.,Oxue6Cgb,Simion O.,QVBmMmoq,,,,,,,6,3,6,4,,,1:41,0:51,0:50,,"06:10 AM, June 03, 2022",CLAY,
